ContigID	genes	VPFs	Pfams	Length	clusterID
haib17CEM5106_HCCGHCCXY_SL270259_NODE_243_length_19341_cov_17.7544	16	13	1	19341	3
haib17CEM5106_HCCGHCCXY_SL270315_NODE_331_length_15742_cov_9.43526	13	12	0	15742	3
haib17CEM5106_HCCGHCCXY_SL270469_NODE_256_length_15570_cov_18.426	13	12	0	15570	3
haib17CEM5106_HCCGHCCXY_SL270470_NODE_288_length_15570_cov_9.78982	13	12	0	15570	3
haib17CEM5106_HCCGHCCXY_SL270510_NODE_600_length_15570_cov_722.154	13	12	0	15570	3
haib17CEM5106_HCCGHCCXY_SL270511_NODE_616_length_15350_cov_692.812	13	11	0	15350	3
haib17CEM5106_HCV72CCXY_SL269743_NODE_1701_length_7555_cov_4.66773	7	7	0	7555	3
haib17CEM5106_HCV72CCXY_SL269808_NODE_299_length_15570_cov_12.5189	13	12	0	15570	3
haib17CEM5106_HCVMTCCXY_SL269616_NODE_387_length_15570_cov_8.92137	13	12	0	15570	3
haib17CEM5106_HCVMTCCXY_SL269617_NODE_406_length_17834_cov_13.0764	16	14	1	17834	3
haib17CEM5106_HCY5HCCXY_SL270995_NODE_269_length_15570_cov_20.6786	13	12	0	15570	3
haib17CEM5106_HCY5HCCXY_SL270996_NODE_276_length_15570_cov_21.449	13	12	0	15570	3
haib17CEM5106_HCY5HCCXY_SL271131_NODE_287_length_15570_cov_18.4237	13	12	0	15570	3
haib17CEM5106_HCY5HCCXY_SL271132_NODE_281_length_15570_cov_24.5256	13	12	0	15570	3
haib17CEM5106_HCY5HCCXY_SL271138_NODE_652_length_12183_cov_8.73301	11	9	0	12183	3
haib17CEM5106_HCY5JCCXY_SL269616_NODE_314_length_15570_cov_14.9687	13	12	0	15570	3
haib17CEM5106_HCY5JCCXY_SL269617_NODE_403_length_15872_cov_17.5119	13	12	0	15872	3
haib17DB4959_H3MGVCCXY_SL259929_NODE_184_length_15570_cov_50.5732	13	12	0	15570	3
haib17DB4959_H3MGVCCXY_SL259941_NODE_282_length_15570_cov_15.5527	13	12	0	15570	3
haib17DB4959_H3MGVCCXY_SL259963_NODE_225_length_15429_cov_22.7096	13	12	0	15429	3
haib17DB4959_H3MGVCCXY_SL259983_NODE_260_length_15570_cov_37.7763	13	12	0	15570	3
haib17KIU4866_H7HJMCCXY_SL272746_NODE_191_length_17225_cov_5.63669	23	19	1	17225	3
haib17KIU4866_H7HJMCCXY_SL272747_NODE_283_length_11293_cov_6.55223	14	11	1	11293	3
haib17KIU4866_H7HJMCCXY_SL272790_NODE_782_length_11621_cov_18.3383	13	11	1	11621	3
haib18CEM5453_HMGW3CCXY_SL342290_NODE_174_length_10880_cov_11.6567	14	12	1	10880	3
haib18CEM5526_HMGTJCCXY_SL342622_NODE_173_length_15570_cov_32.7818	20	18	1	15570	3
haib18CEM5526_HMGW3CCXY_SL342621_NODE_472_length_5790_cov_7.72938	7	6	0	5790	3
haib18CEM5526_HMGW3CCXY_SL342621_NODE_545_length_5439_cov_8.87667	9	7	1	5439	3
haib18CEM5526_HMGW3CCXY_SL342622_NODE_340_length_10824_cov_35.5806	15	12	1	10824	3
haib18CEM5526_HMGW3CCXY_SL342623_NODE_443_length_5896_cov_10.7673	8	6	1	5896	3
haib17CEM4890_H7KYMCCXY_SL273121_NODE_22_length_11823_cov_4.66307	4	4	0	11823	4
haib17CEM4890_H7KYMCCXY_SL273121_NODE_31_length_8326_cov_4.39632	5	5	0	8326	4
haib17CEM4890_H7KYMCCXY_SL273121_NODE_49_length_6710_cov_4.50248	4	4	0	6710	4
haib17CEM4890_HKC32ALXX_SL254680_NODE_3163_length_5499_cov_5.01984	5	5	0	5499	5
haib17CEM4890_HKC32ALXX_SL254760_NODE_411_length_8095_cov_10.4443	5	5	0	8095	5
haib17CEM5080_H7VL7CCXY_SL267266_NODE_1517_length_6239_cov_25.5535	7	7	0	6239	5
haib17CEM5106_HCCGHCCXY_SL270260_NODE_771_length_5864_cov_5.27406	4	4	0	5864	5
haib17CEM5106_HCCGHCCXY_SL270458_NODE_575_length_5589_cov_5.3464	6	6	0	5589	5
haib17CEM5106_HCCGHCCXY_SL270469_NODE_287_length_10407_cov_49.8006	9	9	0	10407	5
haib17CEM5106_HCCGHCCXY_SL270470_NODE_329_length_10291_cov_26.3721	9	9	0	10291	5
haib17CEM5106_HCV72CCXY_SL269743_NODE_1289_length_9746_cov_4.90403	6	6	0	9746	5
haib18CEM5453_HMGW3CCXY_SL342290_NODE_819_length_5854_cov_21.8388	6	6	0	5854	5
haib18CEM5526_HMGW3CCXY_SL342622_NODE_628_length_6239_cov_77.9626	7	7	0	6239	5
haib17CEM4890_H2NYMCCXY_SL254773_NODE_2_length_45004_cov_31.3544	25	21	2	45004	6
haib17CEM4890_H7KYMCCXY_SL273121_NODE_35_length_7848_cov_4.69203	10	6	1	7848	7
haib17CEM4890_H7KYMCCXY_SL273121_NODE_46_length_6771_cov_4.67793	3	3	0	6771	7
haib17CEM4890_H2NYMCCXY_SL254794_NODE_3420_length_7327_cov_43.383	8	8	0	7327	8
haib17CEM4890_H2NYMCCXY_SL254830_NODE_3387_length_8172_cov_5.2751	10	10	0	8172	8
haib17CEM4890_H2NYMCCXY_SL254830_NODE_5564_length_5420_cov_5.61193	6	6	0	5420	8
haib17CEM4890_HKC32ALXX_SL254680_NODE_3302_length_5249_cov_59.8129	7	5	2	5249	8
haib17KIU4866_H7HJMCCXY_SL272790_NODE_1135_length_8115_cov_7.64789	11	10	0	8115	8
haib17KIU4866_H7HJMCCXY_SL272790_NODE_628_length_13856_cov_7.25708	21	18	0	13856	8
haib17CEM4890_H2NYMCCXY_SL254777_NODE_64_length_13649_cov_8.48823	17	5	4	13649	9
haib17CEM4890_H2NYMCCXY_SL254809_NODE_481_length_10678_cov_5.8508	12	8	1	10678	9
haib17CEM4890_H2NYMCCXY_SL254813_NODE_21_length_28780_cov_12.4819	33	11	7	28780	9
haib17CEM4890_H2NYMCCXY_SL254823_NODE_10_length_20814_cov_7.63404	22	7	5	20814	9
haib17CEM4890_H2NYMCCXY_SL254836_NODE_267_length_18616_cov_8.36097	20	6	5	18616	9
haib17CEM4890_H2NYMCCXY_SL254838_NODE_328_length_22276_cov_14.618	26	11	5	22276	9
haib17CEM4890_H7KYMCCXY_SL273048_NODE_24_length_21278_cov_8.54629	24	9	3	21278	9
haib17CEM4890_H7KYMCCXY_SL273072_NODE_20_length_27963_cov_8.35044	33	11	7	27963	9
haib17CEM4890_H7KYMCCXY_SL273086_NODE_81_length_9802_cov_5.38576	10	6	2	9802	9
haib17CEM4890_H7KYMCCXY_SL273095_NODE_53_length_12729_cov_5.43475	15	8	1	12729	9
haib17CEM4890_HKC32ALXX_SL254688_NODE_21_length_28773_cov_16.8408	33	11	7	28773	9
haib17CEM4890_HKC32ALXX_SL254691_NODE_102_length_15676_cov_17.2268	17	6	4	15676	9
haib17CEM4890_HKC32ALXX_SL254691_NODE_118_length_14077_cov_16.8876	18	6	3	14077	9
haib17CEM4890_HKC32ALXX_SL254701_NODE_108_length_20200_cov_10.0698	21	7	5	20200	9
haib17CEM4890_HKC32ALXX_SL254707_NODE_54_length_33202_cov_21.4832	33	9	8	33202	9
haib17CEM4890_HKC32ALXX_SL254711_NODE_158_length_33079_cov_26.9068	36	12	8	33079	9
haib17CEM4890_HKC32ALXX_SL254712_NODE_39_length_27907_cov_12.4908	33	11	7	27907	9
haib17CEM4890_HKC32ALXX_SL254722_NODE_2660_length_5025_cov_7.64024	6	4	0	5025	9
haib17CEM4890_HKC32ALXX_SL254725_NODE_13_length_29655_cov_19.3591	34	12	7	29655	9
haib17CEM4890_HKC32ALXX_SL254737_NODE_6_length_28466_cov_11.0472	33	11	7	28466	9
haib17CEM4890_HKC32ALXX_SL254744_NODE_85_length_19238_cov_25.0672	21	9	5	19238	9
haib17CEM4890_HKC32ALXX_SL254746_NODE_128_length_17591_cov_8.26728	19	8	3	17591	9
haib17CEM4890_HKC32ALXX_SL254762_NODE_1210_length_8289_cov_7.36119	9	6	1	8289	9
haib17CEM5106_HCCGHCCXY_SL270209_NODE_37_length_23869_cov_8.50579	26	11	4	23869	9
haib17CEM5106_HCCGHCCXY_SL270229_NODE_62_length_33217_cov_40.1757	36	12	8	33217	9
haib17CEM5106_HCCGHCCXY_SL270411_NODE_41_length_28911_cov_10.2648	33	11	7	28911	9
haib17CEM5106_HCCGHCCXY_SL270436_NODE_103_length_13025_cov_6.70447	16	5	3	13025	9
haib17CEM5106_HCCGHCCXY_SL270436_NODE_76_length_14576_cov_7.20481	15	6	3	14576	9
haib17CEM5106_HCCGHCCXY_SL270438_NODE_1263_length_5188_cov_6.17553	5	4	0	5188	9
haib17CEM5106_HCCGHCCXY_SL270453_NODE_163_length_5433_cov_7.24228	6	5	1	5433	9
haib17CEM5106_HCCGHCCXY_SL270456_NODE_90_length_9279_cov_7.91956	11	8	1	9279	9
haib17CEM5106_HCCGHCCXY_SL270457_NODE_31_length_24777_cov_7.78756	29	11	5	24777	9
haib17CEM5106_HCCGHCCXY_SL270458_NODE_50_length_23973_cov_9.90739	28	11	5	23973	9
haib17CEM5106_HCCGHCCXY_SL270464_NODE_3_length_23716_cov_10.8719	26	10	5	23716	9
haib17CEM5106_HCCGHCCXY_SL270465_NODE_75_length_11663_cov_6.32297	14	8	1	11663	9
haib17CEM5106_HCCGHCCXY_SL270559_NODE_47_length_15101_cov_7.934	17	5	4	15101	9
haib17CEM5106_HCCGHCCXY_SL270559_NODE_50_length_14737_cov_5.57989	17	6	3	14737	9
haib17CEM5241_HMGMHCCXY_SL343460_NODE_6_length_33202_cov_21.6464	33	9	8	33202	9
haib17DB4959_H3MGVCCXY_SL259824_NODE_147_length_5120_cov_5.97848	5	5	0	5120	9
haib17DB4959_H3MGVCCXY_SL259825_NODE_164_length_7759_cov_6.30504	9	6	1	7759	9
haib17DB4959_H3MGVCCXY_SL259828_NODE_40_length_21924_cov_14.6978	25	9	5	21924	9
haib17DB4959_H3MGVCCXY_SL259829_NODE_52_length_21803_cov_8.06171	25	11	5	21803	9
haib17DB4959_H3MGVCCXY_SL259830_NODE_23_length_28177_cov_11.696	33	11	7	28177	9
haib17DB4959_H3MGVCCXY_SL259837_NODE_32_length_28773_cov_19.4924	33	11	7	28773	9
haib17DB4959_H3MGVCCXY_SL259840_NODE_17_length_36519_cov_20.5738	40	14	9	36519	9
haib17DB4959_H3MGVCCXY_SL259842_NODE_45_length_28911_cov_9.69826	33	11	7	28911	9
haib17DB4959_H3MGVCCXY_SL259843_NODE_15_length_22744_cov_7.5909	23	10	4	22744	9
haib17DB4959_H3MGVCCXY_SL259845_NODE_143_length_6521_cov_5.24327	7	6	0	6521	9
haib17DB4959_H3MGVCCXY_SL259846_NODE_65_length_12787_cov_6.77914	15	5	3	12787	9
haib17DB4959_H3MGVCCXY_SL259847_NODE_26_length_28243_cov_7.9564	33	11	7	28243	9
haib17DB4959_H3MGVCCXY_SL259848_NODE_52_length_18327_cov_11.8215	22	9	3	18327	9
haib17DB4959_H3MGVCCXY_SL259850_NODE_19_length_33079_cov_16.3107	36	12	8	33079	9
haib17DB4959_H3MGVCCXY_SL259851_NODE_255_length_7834_cov_7.36277	11	5	1	7834	9
haib17DB4959_H3MGVCCXY_SL259852_NODE_30_length_28780_cov_16.4348	33	11	7	28780	9
haib17DB4959_H3MGVCCXY_SL259853_NODE_69_length_28773_cov_12.2609	33	11	7	28773	9
haib17DB4959_H3MGVCCXY_SL259854_NODE_33_length_22435_cov_9.11372	23	10	4	22435	9
haib17DB4959_H3MGVCCXY_SL259858_NODE_388_length_7868_cov_4.92589	10	6	1	7868	9
haib17DB4959_H3MGVCCXY_SL259863_NODE_27_length_27907_cov_15.1367	33	11	7	27907	9
haib17DB4959_H3MGVCCXY_SL259864_NODE_116_length_7294_cov_5.41345	9	6	1	7294	9
haib17DB4959_H3MGVCCXY_SL259865_NODE_12_length_27907_cov_24.6126	33	11	7	27907	9
haib17DB4959_H3MGVCCXY_SL259867_NODE_163_length_5002_cov_7.98241	6	5	0	5002	9
haib17DB4959_H3MGVCCXY_SL259873_NODE_20_length_36520_cov_27.6822	39	14	8	36520	9
haib17DB4959_H3MGVCCXY_SL259874_NODE_15_length_33079_cov_35.6609	36	12	8	33079	9
haib17DB4959_H3MGVCCXY_SL259875_NODE_201_length_6247_cov_8.77762	8	6	0	6247	9
haib17DB4959_H3MGVCCXY_SL259876_NODE_20_length_29655_cov_21.2392	34	12	7	29655	9
haib17DB4959_H3MGVCCXY_SL259877_NODE_31_length_26350_cov_12.2213	31	12	5	26350	9
haib17DB4959_H3MGVCCXY_SL259878_NODE_6_length_25694_cov_9.11494	31	12	5	25694	9
haib17DB4959_H3MGVCCXY_SL259884_NODE_57_length_17884_cov_9.86858	22	9	2	17884	9
haib17DB4959_H3MGVCCXY_SL259887_NODE_32_length_27418_cov_18.0116	32	11	6	27418	9
haib17DB4959_H3MGVCCXY_SL259888_NODE_89_length_8584_cov_5.64228	10	8	1	8584	9
haib17DB4959_H3MGVCCXY_SL259889_NODE_37_length_22949_cov_14.747	25	10	4	22949	9
haib17DB4959_H3MGVCCXY_SL259894_NODE_111_length_7945_cov_6.45361	9	6	1	7945	9
haib17DB4959_H3MGVCCXY_SL259899_NODE_22_length_28030_cov_11.7893	33	11	7	28030	9
haib17DB4959_H3MGVCCXY_SL259900_NODE_45_length_18282_cov_8.54908	22	9	3	18282	9
haib17DB4959_H3MGVCCXY_SL259901_NODE_31_length_22829_cov_10.2143	25	10	4	22829	9
haib17DB4959_H3MGVCCXY_SL259902_NODE_27_length_33079_cov_88.7513	36	12	8	33079	9
haib17DB4959_H3MGVCCXY_SL259904_NODE_23_length_29517_cov_37.439	34	12	7	29517	9
haib17DB4959_H3MGVCCXY_SL259907_NODE_59_length_13169_cov_6.32706	15	7	1	13169	9
haib17DB4959_H3MGVCCXY_SL259908_NODE_106_length_7950_cov_7.7349	10	6	1	7950	9
haib17DB4959_HMGW3CCXY_SL342476_NODE_8_length_22707_cov_14.8978	24	8	5	22707	9
haib18CEM5453_HMC2KCCXY_SL336578_NODE_29_length_29033_cov_37.0757	31	10	5	29033	9
haib18CEM5453_HMC2KCCXY_SL336723_NODE_29_length_32772_cov_9.66418	34	9	8	32772	9
haib18CEM5453_HMGW3CCXY_SL342313_NODE_8_length_28773_cov_18.6043	30	8	7	28773	9
haib18CEM5453_HNHKFCCXY_SL345911_NODE_16_length_33217_cov_23.0456	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL345912_NODE_3_length_16392_cov_10.8515	17	6	3	16392	9
haib18CEM5453_HNHKFCCXY_SL345920_NODE_46_length_10432_cov_7.13954	12	5	1	10432	9
haib18CEM5453_HNHKFCCXY_SL345920_NODE_5_length_15971_cov_6.67259	17	5	4	15971	9
haib18CEM5453_HNHKFCCXY_SL345921_NODE_1_length_19389_cov_6.8559	20	5	4	19389	9
haib18CEM5453_HNHKFCCXY_SL345927_NODE_4_length_33217_cov_28.0541	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL345936_NODE_1_length_23322_cov_8.01221	25	8	5	23322	9
haib18CEM5453_HNHKFCCXY_SL345946_NODE_34_length_33217_cov_14.8692	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL345962_NODE_6_length_33217_cov_19.0548	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL345968_NODE_2_length_34982_cov_16.5827	36	9	8	34982	9
haib18CEM5453_HNHKFCCXY_SL345969_NODE_2_length_36935_cov_17.8591	37	10	8	36935	9
haib18CEM5453_HNHKFCCXY_SL345970_NODE_2_length_33217_cov_19.8426	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL345975_NODE_16_length_33472_cov_32.9387	34	9	8	33472	9
haib18CEM5453_HNHKFCCXY_SL345976_NODE_1_length_33217_cov_45.821	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL345981_NODE_21_length_38332_cov_61.1578	38	10	8	38332	9
haib18CEM5453_HNHKFCCXY_SL345982_NODE_43_length_33495_cov_54.4074	34	9	8	33495	9
haib18CEM5453_HNHKFCCXY_SL345984_NODE_20_length_33217_cov_41.5551	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL345985_NODE_1_length_29066_cov_8.87908	30	8	7	29066	9
haib18CEM5453_HNHKFCCXY_SL345986_NODE_19_length_34614_cov_15.128	34	9	8	34614	9
haib18CEM5453_HNHKFCCXY_SL345989_NODE_5_length_33217_cov_25.3493	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346093_NODE_40_length_18441_cov_34.3866	20	6	5	18441	9
haib18CEM5453_HNHKFCCXY_SL346094_NODE_5_length_33217_cov_45.7527	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346105_NODE_136_length_15259_cov_16.2391	16	5	4	15259	9
haib18CEM5453_HNHKFCCXY_SL346108_NODE_40_length_33217_cov_50.4524	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346109_NODE_51_length_33217_cov_28.0807	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346118_NODE_49_length_33217_cov_28.2902	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346119_NODE_25_length_33217_cov_33.0901	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346122_NODE_49_length_33217_cov_12.3499	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346126_NODE_38_length_33217_cov_62.7787	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346128_NODE_69_length_33217_cov_28.2399	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346138_NODE_20_length_33217_cov_46.5658	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346139_NODE_52_length_33217_cov_51.6978	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346149_NODE_24_length_33217_cov_72.5326	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346150_NODE_28_length_37228_cov_37.3699	36	10	8	37228	9
haib18CEM5453_HNHKFCCXY_SL346153_NODE_4_length_27907_cov_8.19973	29	7	6	27907	9
haib18CEM5453_HNHKFCCXY_SL346162_NODE_16_length_33217_cov_44.8868	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346166_NODE_6_length_33217_cov_56.5031	33	9	8	33217	9
haib18CEM5453_HNHKFCCXY_SL346169_NODE_34_length_24813_cov_43.7194	26	8	5	24813	9
haib18CEM5453_HT5YVCCXY_SL357527_NODE_1_length_23065_cov_13.296	25	8	5	23065	9
haib17CEM4890_H7KYMCCXY_SL273121_NODE_3_length_62829_cov_49.8153	34	19	2	62829	10
haib17CEM4890_H7KYMCCXY_SL273121_NODE_6_length_30802_cov_48.1231	19	13	0	30802	10
haib17CEM4890_H7KYMCCXY_SL273121_NODE_63_length_6098_cov_9.55237	7	5	0	6098	11
haib17CEM4890_H2NYMCCXY_SL254770_NODE_3479_length_8208_cov_8.01202	7	6	0	8208	12
haib17CEM4890_H2NYMCCXY_SL254783_NODE_5999_length_6458_cov_7.83945	8	5	0	6458	12
haib17CEM4890_H2NYMCCXY_SL254794_NODE_2620_length_9416_cov_19.6368	9	7	0	9416	12
haib17CEM4890_HKC32ALXX_SL254680_NODE_770_length_18422_cov_35.4826	15	11	2	18422	12
haib17KIU4866_H7HJMCCXY_SL272790_NODE_1391_length_6620_cov_5.27327	8	6	2	6620	12
haib17CEM4890_H2NYMCCXY_SL254770_NODE_1028_length_19977_cov_16.7429	17	9	2	19977	13
haib17CEM4890_H2NYMCCXY_SL254770_NODE_2739_length_9919_cov_15.6591	11	6	0	9919	13
haib17CEM4890_H2NYMCCXY_SL254771_NODE_1943_length_9920_cov_29.155	7	5	2	9920	13
haib17CEM4890_H2NYMCCXY_SL254783_NODE_3689_length_9844_cov_11.4862	8	5	2	9844	13
haib17CEM4890_H2NYMCCXY_SL254794_NODE_1611_length_15525_cov_30.9386	14	6	2	15525	13
haib17CEM4890_H2NYMCCXY_SL254794_NODE_1676_length_14980_cov_31.2023	15	8	0	14980	13
haib17CEM4890_H2NYMCCXY_SL254806_NODE_2932_length_10872_cov_13.8537	9	5	4	10872	13
haib17CEM4890_HKC32ALXX_SL254680_NODE_1424_length_10838_cov_7.03969	12	5	1	10838	13
haib17CEM4890_HKC32ALXX_SL254680_NODE_3365_length_5139_cov_9.87156	4	3	0	5139	13
haib18CEM5453_HMC2KCCXY_SL336563_NODE_51_length_43849_cov_326.008	59	17	3	43849	14
haib18CEM5453_HMC2KCCXY_SL336564_NODE_23_length_49352_cov_272.81	71	18	3	49352	14
haib18CEM5453_HMC2KCCXY_SL336567_NODE_1_length_49210_cov_132.545	72	18	3	49210	14
haib18CEM5453_HMC2KCCXY_SL336568_NODE_1_length_44655_cov_152.52	68	13	3	44655	14
haib18CEM5453_HMC2KCCXY_SL336569_NODE_1_length_27848_cov_241.496	52	8	3	27848	14
haib18CEM5453_HMC2KCCXY_SL336569_NODE_2_length_21403_cov_1125.09	20	10	0	21403	14
haib18CEM5453_HMC2KCCXY_SL336570_NODE_1_length_26369_cov_226.072	41	8	3	26369	14
haib18CEM5453_HMC2KCCXY_SL336570_NODE_16_length_14398_cov_232.285	16	6	0	14398	14
haib18CEM5453_HMC2KCCXY_SL336571_NODE_1_length_22231_cov_58.5104	21	10	0	22231	14
haib18CEM5453_HMC2KCCXY_SL336571_NODE_2_length_21673_cov_58.7528	38	6	3	21673	14
haib18CEM5453_HMC2KCCXY_SL336572_NODE_1_length_21673_cov_57.9071	38	6	3	21673	14
haib18CEM5453_HMC2KCCXY_SL336576_NODE_54_length_7637_cov_18.3076	12	3	0	7637	14
haib18CEM5453_HMC2KCCXY_SL336577_NODE_1_length_40130_cov_35.012	54	15	1	40130	14
haib18CEM5453_HMC2KCCXY_SL336579_NODE_1209_length_5824_cov_1307.37	7	7	0	5824	14
haib18CEM5453_HMC2KCCXY_SL336579_NODE_283_length_15228_cov_1104.66	15	4	0	15228	14
haib18CEM5453_HMC2KCCXY_SL336579_NODE_69_length_28311_cov_110.481	53	8	3	28311	14
haib18CEM5453_HMC2KCCXY_SL336582_NODE_1_length_43849_cov_77.2845	59	17	3	43849	14
haib18CEM5453_HMC2KCCXY_SL336583_NODE_1_length_43849_cov_50.702	59	17	3	43849	14
haib18CEM5453_HMC2KCCXY_SL336584_NODE_1_length_49204_cov_52.5155	72	18	3	49204	14
haib18CEM5453_HMC2KCCXY_SL336585_NODE_1_length_43849_cov_63.1582	59	17	3	43849	14
haib18CEM5453_HMC2KCCXY_SL336586_NODE_1_length_44489_cov_53.9301	61	18	3	44489	14
haib18CEM5453_HMC2KCCXY_SL336693_NODE_366_length_8672_cov_1303.16	14	5	0	8672	14
haib18CEM5453_HMC2KCCXY_SL336694_NODE_38_length_49267_cov_425.946	71	17	3	49267	14
haib18CEM5453_HMC2KCCXY_SL336695_NODE_295_length_13698_cov_204.098	15	8	0	13698	14
haib18CEM5453_HMC2KCCXY_SL336695_NODE_70_length_30269_cov_191.364	45	9	3	30269	14
haib18CEM5453_HMC2KCCXY_SL336698_NODE_295_length_9294_cov_1271.41	10	4	0	9294	14
haib18CEM5453_HMC2KCCXY_SL336699_NODE_447_length_11023_cov_2532.9	10	3	0	11023	14
