Viral_contig	length	Viral_Cluster	habitat	Lat	Lon
REF:Gammaproteobacteria_gi_545288473-535049-578030	42981	1	Gammaproteobacteria_gi_545288473-535049-578030	prophage	prophage
REF:Gammaproteobacteria_gi_429958839-25790-68445	42655	1	Gammaproteobacteria_gi_429958839-25790-68445	prophage	prophage
REF:Gammaproteobacteria_gi_452699756-597739-640224	42485	1	Gammaproteobacteria_gi_452699756-597739-640224	prophage	prophage
REF:Gammaproteobacteria_gi_407466711-3631504-3673987	42483	1	Gammaproteobacteria_gi_407466711-3631504-3673987	prophage	prophage
REF:Gammaproteobacteria_gi_407479587-3581877-3624360	42483	1	Gammaproteobacteria_gi_407479587-3581877-3624360	prophage	prophage
REF:Gammaproteobacteria_gi_410480139-3573880-3616363	42483	1	Gammaproteobacteria_gi_410480139-3573880-3616363	prophage	prophage
REF:Gammaproteobacteria_gi_422990407-1147074-1189557	42483	1	Gammaproteobacteria_gi_422990407-1147074-1189557	prophage	prophage
REF:Gammaproteobacteria_gi_422992349-1142705-1185188	42483	1	Gammaproteobacteria_gi_422992349-1142705-1185188	prophage	prophage
REF:Gammaproteobacteria_gi_423007663-1140088-1182571	42483	1	Gammaproteobacteria_gi_423007663-1140088-1182571	prophage	prophage
REF:Gammaproteobacteria_gi_423021847-1146020-1188503	42483	1	Gammaproteobacteria_gi_423021847-1146020-1188503	prophage	prophage
REF:Gammaproteobacteria_gi_423026996-1151788-1194271	42483	1	Gammaproteobacteria_gi_423026996-1151788-1194271	prophage	prophage
REF:Gammaproteobacteria_gi_423032836-1143297-1185780	42483	1	Gammaproteobacteria_gi_423032836-1143297-1185780	prophage	prophage
REF:Gammaproteobacteria_gi_423035723-1123586-1166069	42483	1	Gammaproteobacteria_gi_423035723-1123586-1166069	prophage	prophage
REF:Gammaproteobacteria_gi_423040825-1159199-1201682	42483	1	Gammaproteobacteria_gi_423040825-1159199-1201682	prophage	prophage
REF:Gammaproteobacteria_gi_423047512-1143489-1185972	42483	1	Gammaproteobacteria_gi_423047512-1143489-1185972	prophage	prophage
REF:Gammaproteobacteria_gi_423051594-603055-645538	42483	1	Gammaproteobacteria_gi_423051594-603055-645538	prophage	prophage
REF:Gammaproteobacteria_gi_423058060-1144393-1186876	42483	1	Gammaproteobacteria_gi_423058060-1144393-1186876	prophage	prophage
REF:Gammaproteobacteria_gi_429821605-25790-68273	42483	1	Gammaproteobacteria_gi_429821605-25790-68273	prophage	prophage
REF:Gammaproteobacteria_gi_429907235-67015-109498	42483	1	Gammaproteobacteria_gi_429907235-67015-109498	prophage	prophage
REF:Gammaproteobacteria_gi_429916791-601239-643722	42483	1	Gammaproteobacteria_gi_429916791-601239-643722	prophage	prophage
REF:Gammaproteobacteria_gi_429921829-595646-638129	42483	1	Gammaproteobacteria_gi_429921829-595646-638129	prophage	prophage
REF:Gammaproteobacteria_gi_429923158-69692-112175	42483	1	Gammaproteobacteria_gi_429923158-69692-112175	prophage	prophage
REF:Gammaproteobacteria_gi_429932054-75058-117541	42483	1	Gammaproteobacteria_gi_429932054-75058-117541	prophage	prophage
REF:Gammaproteobacteria_gi_429933215-558687-601170	42483	1	Gammaproteobacteria_gi_429933215-558687-601170	prophage	prophage
REF:Gammaproteobacteria_gi_429938340-1145550-1188033	42483	1	Gammaproteobacteria_gi_429938340-1145550-1188033	prophage	prophage
REF:Gammaproteobacteria_gi_429946478-598214-640697	42483	1	Gammaproteobacteria_gi_429946478-598214-640697	prophage	prophage
REF:Gammaproteobacteria_gi_429956884-1153485-1195968	42483	1	Gammaproteobacteria_gi_429956884-1153485-1195968	prophage	prophage
REF:Gammaproteobacteria_gi_452698371-1145829-1188312	42483	1	Gammaproteobacteria_gi_452698371-1145829-1188312	prophage	prophage
REF:Gammaproteobacteria_gi_417863696-322326-364808	42482	1	Gammaproteobacteria_gi_417863696-322326-364808	prophage	prophage
REF:Gammaproteobacteria_gi_429903888-1115401-1157816	42415	1	Gammaproteobacteria_gi_429903888-1115401-1157816	prophage	prophage
REF:Gammaproteobacteria_gi_163779976-28281-70631	42350	1	Gammaproteobacteria_gi_163779976-28281-70631	prophage	prophage
REF:Gammaproteobacteria_gi_419359008-75373-117598	42200	1	Gammaproteobacteria_gi_419359008-75373-117598	prophage	prophage
REF:Gammaproteobacteria_gi_419411830-141467-183465	41998	1	Gammaproteobacteria_gi_419411830-141467-183465	prophage	prophage
REF:Gammaproteobacteria_gi_238899406-4132273-4174198	41925	1	Gammaproteobacteria_gi_238899406-4132273-4174198	prophage	prophage
REF:Gammaproteobacteria_gi_452719838-668063-709859	41796	1	Gammaproteobacteria_gi_452719838-668063-709859	prophage	prophage
REF:Gammaproteobacteria_gi_545259628-0-41769	41769	1	Gammaproteobacteria_gi_545259628-0-41769	prophage	prophage
REF:Gammaproteobacteria_gi_545297021-886505-928207	41702	1	Gammaproteobacteria_gi_545297021-886505-928207	prophage	prophage
REF:Gammaproteobacteria_gi_545273013-576233-617502	41244	1	Gammaproteobacteria_gi_545273013-576233-617502	prophage	prophage
REF:Gammaproteobacteria_gi_487360925-130-40794	40664	1	Gammaproteobacteria_gi_487360925-130-40794	prophage	prophage
REF:Gammaproteobacteria_gi_487362795-130-40794	40664	1	Gammaproteobacteria_gi_487362795-130-40794	prophage	prophage
REF:Gammaproteobacteria_gi_417284053-0-40264	40264	1	Gammaproteobacteria_gi_417284053-0-40264	prophage	prophage
REF:Gammaproteobacteria_gi_417579723-38873-79097	40199	1	Gammaproteobacteria_gi_417579723-38873-79097	prophage	prophage
REF:Gammaproteobacteria_gi_487369038-0-39440	39440	1	Gammaproteobacteria_gi_487369038-0-39440	prophage	prophage
REF:Gammaproteobacteria_gi_545288843-554775-594162	39362	1	Gammaproteobacteria_gi_545288843-554775-594162	prophage	prophage
REF:Gammaproteobacteria_gi_565824033-1647-41022	39350	1	Gammaproteobacteria_gi_565824033-1647-41022	prophage	prophage
REF:Gammaproteobacteria_gi_565823167-1647-40599	38927	1	Gammaproteobacteria_gi_565823167-1647-40599	prophage	prophage
REF:Gammaproteobacteria_gi_486297328-157631-196490	38859	1	Gammaproteobacteria_gi_486297328-157631-196490	prophage	prophage
REF:Gammaproteobacteria_gi_425421897	38804	1	Gammaproteobacteria_gi_425421897	prophage	prophage
REF:Gammaproteobacteria_gi_191166532-34970-73654	38659	1	Gammaproteobacteria_gi_191166532-34970-73654	prophage	prophage
REF:Gammaproteobacteria_gi_545250657-0-38644	38644	1	Gammaproteobacteria_gi_545250657-0-38644	prophage	prophage
REF:Gammaproteobacteria_gi_487496329	38323	1	Gammaproteobacteria_gi_487496329	prophage	prophage
REF:Gammaproteobacteria_gi_163770041	38207	1	Gammaproteobacteria_gi_163770041	prophage	prophage
REF:Gammaproteobacteria_gi_506940668	38165	1	Gammaproteobacteria_gi_506940668	prophage	prophage
REF:Gammaproteobacteria_gi_506938569	38144	1	Gammaproteobacteria_gi_506938569	prophage	prophage
REF:Gammaproteobacteria_gi_506940795	38128	1	Gammaproteobacteria_gi_506940795	prophage	prophage
REF:Gammaproteobacteria_gi_486197239-19-37455	37436	1	Gammaproteobacteria_gi_486197239-19-37455	prophage	prophage
REF:Gammaproteobacteria_gi_419364337	37226	1	Gammaproteobacteria_gi_419364337	prophage	prophage
REF:Gammaproteobacteria_gi_433037467	37139	1	Gammaproteobacteria_gi_433037467	prophage	prophage
REF:Gammaproteobacteria_gi_300934732-0-36650	36650	1	Gammaproteobacteria_gi_300934732-0-36650	prophage	prophage
REF:Gammaproteobacteria_gi_487676669	36611	1	Gammaproteobacteria_gi_487676669	prophage	prophage
REF:Gammaproteobacteria_gi_486288138-388008-424602	36569	1	Gammaproteobacteria_gi_486288138-388008-424602	prophage	prophage
REF:Gammaproteobacteria_gi_485888281-25550-62052	36502	1	Gammaproteobacteria_gi_485888281-25550-62052	prophage	prophage
REF:Gammaproteobacteria_gi_429780270-25617-62047	36405	1	Gammaproteobacteria_gi_429780270-25617-62047	prophage	prophage
REF:Gammaproteobacteria_gi_429816395-25790-62196	36381	1	Gammaproteobacteria_gi_429816395-25790-62196	prophage	prophage
REF:Gammaproteobacteria_gi_429805448-25790-62169	36354	1	Gammaproteobacteria_gi_429805448-25790-62169	prophage	prophage
REF:Gammaproteobacteria_gi_486169190-69166-105448	36257	1	Gammaproteobacteria_gi_486169190-69166-105448	prophage	prophage
REF:Gammaproteobacteria_gi_429775084-25617-61888	36246	1	Gammaproteobacteria_gi_429775084-25617-61888	prophage	prophage
REF:Gammaproteobacteria_gi_163769668-9969-46131	36162	1	Gammaproteobacteria_gi_163769668-9969-46131	prophage	prophage
REF:Gammaproteobacteria_gi_163779824-21453-57611	36158	1	Gammaproteobacteria_gi_163779824-21453-57611	prophage	prophage
REF:Gammaproteobacteria_gi_429789658-25790-61959	36144	1	Gammaproteobacteria_gi_429789658-25790-61959	prophage	prophage
REF:Gammaproteobacteria_gi_429784321-25617-61772	36130	1	Gammaproteobacteria_gi_429784321-25617-61772	prophage	prophage
REF:Gammaproteobacteria_gi_429809734-598198-634316	36093	1	Gammaproteobacteria_gi_429809734-598198-634316	prophage	prophage
REF:Gammaproteobacteria_gi_422835244-0-36075	36075	1	Gammaproteobacteria_gi_422835244-0-36075	prophage	prophage
REF:Gammaproteobacteria_gi_486263674-447710-483728	35993	1	Gammaproteobacteria_gi_486263674-447710-483728	prophage	prophage
REF:Gammaproteobacteria_gi_486269437-74835-110657	35797	1	Gammaproteobacteria_gi_486269437-74835-110657	prophage	prophage
REF:Gammaproteobacteria_gi_415836690-1265-37023	35758	1	Gammaproteobacteria_gi_415836690-1265-37023	prophage	prophage
REF:Gammaproteobacteria_gi_452282245	35703	1	Gammaproteobacteria_gi_452282245	prophage	prophage
REF:Gammaproteobacteria_gi_487673717	35498	1	Gammaproteobacteria_gi_487673717	prophage	prophage
REF:Gammaproteobacteria_gi_545292138-0-35455	35455	1	Gammaproteobacteria_gi_545292138-0-35455	prophage	prophage
REF:Gammaproteobacteria_gi_429795888-25617-61089	35447	1	Gammaproteobacteria_gi_429795888-25617-61089	prophage	prophage
REF:Gammaproteobacteria_gi_476380589-130-35412	35282	1	Gammaproteobacteria_gi_476380589-130-35412	prophage	prophage
REF:Gammaproteobacteria_gi_510906157-204107-239170	35063	1	Gammaproteobacteria_gi_510906157-204107-239170	prophage	prophage
REF:Gammaproteobacteria_gi_485885098	34993	1	Gammaproteobacteria_gi_485885098	prophage	prophage
REF:Gammaproteobacteria_gi_487490780-353714-388608	34894	1	Gammaproteobacteria_gi_487490780-353714-388608	prophage	prophage
3300009612_____Ga0105217_100142	34871	1	Marine	3.5037	-38.9985
REF:Gammaproteobacteria_gi_163779561-52716-87565	34849	1	Gammaproteobacteria_gi_163779561-52716-87565	prophage	prophage
REF:Gammaproteobacteria_gi_163780300-52090-86935	34845	1	Gammaproteobacteria_gi_163780300-52090-86935	prophage	prophage
REF:Gammaproteobacteria_gi_163780535-10148-44993	34845	1	Gammaproteobacteria_gi_163780535-10148-44993	prophage	prophage
REF:Gammaproteobacteria_gi_416323751	34694	1	Gammaproteobacteria_gi_416323751	prophage	prophage
REF:Gammaproteobacteria_gi_485863404	34661	1	Gammaproteobacteria_gi_485863404	prophage	prophage
REF:Gammaproteobacteria_gi_417606544-36530-71013	34458	1	Gammaproteobacteria_gi_417606544-36530-71013	prophage	prophage
REF:Gammaproteobacteria_gi_331676385-68809-103169	34360	1	Gammaproteobacteria_gi_331676385-68809-103169	prophage	prophage
REF:Gammaproteobacteria_gi_485883518	34332	1	Gammaproteobacteria_gi_485883518	prophage	prophage
REF:Gammaproteobacteria_gi_485861399	34275	1	Gammaproteobacteria_gi_485861399	prophage	prophage
REF:Gammaproteobacteria_gi_208805610-4402762-4437026	34264	1	Gammaproteobacteria_gi_208805610-4402762-4437026	prophage	prophage
REF:Gammaproteobacteria_gi_209395693-1554862-1589126	34264	1	Gammaproteobacteria_gi_209395693-1554862-1589126	prophage	prophage
REF:Gammaproteobacteria_gi_254791136-1555150-1589414	34264	1	Gammaproteobacteria_gi_254791136-1555150-1589414	prophage	prophage
REF:Gammaproteobacteria_gi_433133686	34248	1	Gammaproteobacteria_gi_433133686	prophage	prophage
REF:Gammaproteobacteria_gi_487652163-75552-109808	34231	1	Gammaproteobacteria_gi_487652163-75552-109808	prophage	prophage
3300009622_____Ga0105173_1000043	34180	1	Marine	-24.9939	-35.9974
REF:Gammaproteobacteria_gi_485866036	33952	1	Gammaproteobacteria_gi_485866036	prophage	prophage
REF:Gammaproteobacteria_gi_417665361-285249-319090	33841	1	Gammaproteobacteria_gi_417665361-285249-319090	prophage	prophage
3300012275_____Ga0121651_100158	33744	1	Engineered-subway	40.87	-73.88
REF:Gammaproteobacteria_gi_485867316	33678	1	Gammaproteobacteria_gi_485867316	prophage	prophage
REF:Gammaproteobacteria_gi_485868544	33634	1	Gammaproteobacteria_gi_485868544	prophage	prophage
REF:Gammaproteobacteria_gi_208818172-1417-34874	33457	1	Gammaproteobacteria_gi_208818172-1417-34874	prophage	prophage
REF:Gammaproteobacteria_gi_452702750-344-33689	33345	1	Gammaproteobacteria_gi_452702750-344-33689	prophage	prophage
REF:Gammaproteobacteria_gi_419321181-22280-55635	33330	1	Gammaproteobacteria_gi_419321181-22280-55635	prophage	prophage
REF:Gammaproteobacteria_gi_506940959	33224	1	Gammaproteobacteria_gi_506940959	prophage	prophage
REF:Gammaproteobacteria_gi_485890104	32951	1	Gammaproteobacteria_gi_485890104	prophage	prophage
REF:Gammaproteobacteria_gi_506940197-22771-55383	32612	1	Gammaproteobacteria_gi_506940197-22771-55383	prophage	prophage
REF:Gammaproteobacteria_gi_485879421	32506	1	Gammaproteobacteria_gi_485879421	prophage	prophage
REF:Gammaproteobacteria_gi_452700882-0-32478	32478	1	Gammaproteobacteria_gi_452700882-0-32478	prophage	prophage
REF:Gammaproteobacteria_gi_485877993	32418	1	Gammaproteobacteria_gi_485877993	prophage	prophage
REF:Gammaproteobacteria_gi_545239025-324053-355909	31856	1	Gammaproteobacteria_gi_545239025-324053-355909	prophage	prophage
REF:Gammaproteobacteria_gi_545249912-438344-470200	31856	1	Gammaproteobacteria_gi_545249912-438344-470200	prophage	prophage
REF:Gammaproteobacteria_gi_487540792	31846	1	Gammaproteobacteria_gi_487540792	prophage	prophage
REF:Gammaproteobacteria_gi_452701038-0-31737	31737	1	Gammaproteobacteria_gi_452701038-0-31737	prophage	prophage
REF:Gammaproteobacteria_gi_474484738-25839-57598	31734	1	Gammaproteobacteria_gi_474484738-25839-57598	prophage	prophage
REF:Gammaproteobacteria_gi_452699937-0-31686	31686	1	Gammaproteobacteria_gi_452699937-0-31686	prophage	prophage
REF:Gammaproteobacteria_gi_487371088-0-31685	31685	1	Gammaproteobacteria_gi_487371088-0-31685	prophage	prophage
REF:Gammaproteobacteria_gi_487380140-0-31651	31651	1	Gammaproteobacteria_gi_487380140-0-31651	prophage	prophage
REF:Gammaproteobacteria_gi_419338251-37651-69179	31528	1	Gammaproteobacteria_gi_419338251-37651-69179	prophage	prophage
REF:Gammaproteobacteria_gi_506938520	31378	1	Gammaproteobacteria_gi_506938520	prophage	prophage
REF:Gammaproteobacteria_gi_506939188	31191	1	Gammaproteobacteria_gi_506939188	prophage	prophage
REF:Gammaproteobacteria_gi_487375224-342-31526	31184	1	Gammaproteobacteria_gi_487375224-342-31526	prophage	prophage
REF:Gammaproteobacteria_gi_419113024-419953-451030	31056	1	Gammaproteobacteria_gi_419113024-419953-451030	prophage	prophage
REF:Gammaproteobacteria_gi_556925377-0-30853	30853	1	Gammaproteobacteria_gi_556925377-0-30853	prophage	prophage
REF:Gammaproteobacteria_gi_474503652-25521-56382	30836	1	Gammaproteobacteria_gi_474503652-25521-56382	prophage	prophage
REF:Gammaproteobacteria_gi_490305109	30767	1	Gammaproteobacteria_gi_490305109	prophage	prophage
REF:Gammaproteobacteria_gi_487629852	30684	1	Gammaproteobacteria_gi_487629852	prophage	prophage
REF:Gammaproteobacteria_gi_419294142	30618	1	Gammaproteobacteria_gi_419294142	prophage	prophage
REF:Gammaproteobacteria_gi_452702481-13262-43697	30435	1	Gammaproteobacteria_gi_452702481-13262-43697	prophage	prophage
REF:Gammaproteobacteria_gi_510912651-814044-844396	30327	1	Gammaproteobacteria_gi_510912651-814044-844396	prophage	prophage
REF:Gammaproteobacteria_gi_312969538-0-30322	30322	1	Gammaproteobacteria_gi_312969538-0-30322	prophage	prophage
REF:Gammaproteobacteria_gi_510927493-1372702-1402970	30268	1	Gammaproteobacteria_gi_510927493-1372702-1402970	prophage	prophage
REF:Gammaproteobacteria_gi_209395693-1697223-1727220	29997	1	Gammaproteobacteria_gi_209395693-1697223-1727220	prophage	prophage
REF:Gammaproteobacteria_gi_254791136-1696198-1726195	29997	1	Gammaproteobacteria_gi_254791136-1696198-1726195	prophage	prophage
3300001679_____TahiMoana_1000331	29990	1	Marine	-20.682131	-176.183363
REF:Gammaproteobacteria_gi_386622414-1811860-1841775	29915	1	Gammaproteobacteria_gi_386622414-1811860-1841775	prophage	prophage
REF:Gammaproteobacteria_gi_433203048-121-29880	29759	1	Gammaproteobacteria_gi_433203048-121-29880	prophage	prophage
REF:Gammaproteobacteria_gi_490286387-601-30133	29532	1	Gammaproteobacteria_gi_490286387-601-30133	prophage	prophage
REF:Gammaproteobacteria_gi_476380515-357967-387431	29464	1	Gammaproteobacteria_gi_476380515-357967-387431	prophage	prophage
3300014041_____Ga0116707_1000001	29243	1	Host-cnidaria	50.45	3.93
REF:Gammaproteobacteria_gi_485869797	29176	1	Gammaproteobacteria_gi_485869797	prophage	prophage
REF:Gammaproteobacteria_gi_556549269-267-29291	29024	1	Gammaproteobacteria_gi_556549269-267-29291	prophage	prophage
REF:Gammaproteobacteria_gi_419327133-302415-331309	28894	1	Gammaproteobacteria_gi_419327133-302415-331309	prophage	prophage
REF:Gammaproteobacteria_gi_486053443	28860	1	Gammaproteobacteria_gi_486053443	prophage	prophage
REF:Gammaproteobacteria_gi_545239676-1407792-1436592	28776	1	Gammaproteobacteria_gi_545239676-1407792-1436592	prophage	prophage
REF:Gammaproteobacteria_gi_419124692	28541	1	Gammaproteobacteria_gi_419124692	prophage	prophage
REF:Gammaproteobacteria_gi_487527297	28211	1	Gammaproteobacteria_gi_487527297	prophage	prophage
REF:Gammaproteobacteria_gi_476380560-424799-452993	28169	1	Gammaproteobacteria_gi_476380560-424799-452993	prophage	prophage
REF:Gammaproteobacteria_gi_309797018-137-28258	28121	1	Gammaproteobacteria_gi_309797018-137-28258	prophage	prophage
REF:Gammaproteobacteria_gi_452721410-50722-78675	27953	1	Gammaproteobacteria_gi_452721410-50722-78675	prophage	prophage
REF:Gammaproteobacteria_gi_421778398	27901	1	Gammaproteobacteria_gi_421778398	prophage	prophage
REF:Gammaproteobacteria_gi_545269597-0-27856	27856	1	Gammaproteobacteria_gi_545269597-0-27856	prophage	prophage
REF:Gammaproteobacteria_gi_545172166-0-27764	27764	1	Gammaproteobacteria_gi_545172166-0-27764	prophage	prophage
REF:Gammaproteobacteria_gi_419332875	27716	1	Gammaproteobacteria_gi_419332875	prophage	prophage
REF:Gammaproteobacteria_gi_419061805-36613-64275	27637	1	Gammaproteobacteria_gi_419061805-36613-64275	prophage	prophage
REF:Gammaproteobacteria_gi_194437158-51502-78958	27456	1	Gammaproteobacteria_gi_194437158-51502-78958	prophage	prophage
REF:Gammaproteobacteria_gi_419118994	27164	1	Gammaproteobacteria_gi_419118994	prophage	prophage
REF:Gammaproteobacteria_gi_163769990-55835-82997	27162	1	Gammaproteobacteria_gi_163769990-55835-82997	prophage	prophage
REF:Gammaproteobacteria_gi_487545880	27130	1	Gammaproteobacteria_gi_487545880	prophage	prophage
REF:Gammaproteobacteria_gi_420310331	27074	1	Gammaproteobacteria_gi_420310331	prophage	prophage
REF:Gammaproteobacteria_gi_490021906-11106-37616	26485	1	Gammaproteobacteria_gi_490021906-11106-37616	prophage	prophage
REF:Gammaproteobacteria_gi_545162132-426960-453002	26042	1	Gammaproteobacteria_gi_545162132-426960-453002	prophage	prophage
